Path (tasks.mechanic.dev),Description
/auto-tag-products-that-have-a-compare-at-price,"This task will keep your sale tags in sync, without any manual work. Configure the task with a tag to apply (and optionally a tag for products that aren't on sale), and Mechanic will take care of applying and removing tags as appropriate. If you're using Shopify discounts, this can allow you to use automatic sale collections – based on these tags – to control eligibility for your discounts."
/auto-create-collections-by-product-type-or-vendor,"When products are created, this task will auto-create smart collections by product type and/or vendor, if such collections don't already exist. Additionally, configuring one or more exact sales channel names will enable publishing of any newly created collections by this task to those sales channels."
/send-email-when-an-order-is-tagged,"Use this task to monitor order tags, and notify staff, vendors, or any other interested parties when an order receives a certain tag. Useful for keeping teams across your business up to date as an order progresses."
/auto-tag-new-orders-based-on-payment-method,"This task checks the payment method for new orders immediately upon order creation, and tags the order accordingly."
/email-customer-when-order-tagged,"Improve your customer relationships without complicated your workflow - use this task to send automatic emails whenever your staff adds a certain tag to an order. (Mechanic will add another tag to your order when the email is sent, for visibility.)"
/auto-tag-orders-based-on-shipping-method,"Quickly identify and sort orders based on their shipping method, using automatic order tags. This task supports auto-tagging incoming orders, and can be run manually to tag historical orders."
/send-a-pdf-invoice-when-an-order-is-created,"Automatically generate an invoice PDF, to be emailed to the address on file for the order, if the order has not yet been paid. Useful for working with billing departments, or with anyone else who needs an order summary auto-emailed. :)"
/generate-a-simple-product-catalog-pdf,"This task is a simple demonstration of pulling product titles and images into a PDF, resulting in a simple catalog of the products available in your store. Use it as a starting point for building something more complex."
/sync-inventory-across-product-variants,"Useful for multiple price points, or for offering customizations of the same item, this task lets you offer multiple variant listings for what is ultimately the same stock. A purchase of a particular variant results in the inventory for all other variants, for the same product, being lowered by the amount ordered."
/auto-tag-orders-that-contain-a-matching-product,"This task watches for incoming orders, and tags them if they contain a product that matches by title or by product tags. Additionally, edited orders will have tags added or removed in line with product additions or removals. Run this task manually to scan your store's order history, tagging older orders that qualify, and untagging those that have been edited and no longer do."
/flag-orders-that-arent-fulfilled-after-two-days,"It's critical to stay on top of any orders that aren't properly fulfilled – and your customers care, too! Use this task to auto-tag orders, to email yourself a reminder, and optionally to send customers a little reassurance message, if an order hasn't been fulfilled a configurable number of days after payment."
/auto-tag-orders-by-discount-code,"This task watches for newly-created orders, and copies any discount codes present to the order's tags."
/auto-tag-orders-by-product-collections,Use this task to automatically tag orders based on what collection(s) the customer has ordered from. Useful for broadly classifying orders according to their contents.
/customer-signup-email,"Super basic, super useful. :) Get an email alert whenever a customer account is created."
/publish-back-in-stock-products,"This task monitors inventory updates, and publishes the product to the configured sales channels whenever a product's total inventory meets your ""back in stock"" threshold. Optionally, it'll send you an email when it does so. You may also choose whether to further refine the products being considered by this task by configuring inclusion or exclusion tags (note: exclusion tags will always take precedence over inclusion tags)."
/copy-product-metafields-to-each-products-tags,"This task exists to fill the gap between Shopify's admin product search, and product metafields. Use this task to copy metafield values to product tags, allowing you to filter products by tags based on those metafields."
/maintain-a-collection-of-new-products,"Use this task to maintain a ""New Products"" collection, specifying either a number of products to include or the number of days to keep each product around. Easy! :)"
/auto-tag-products-by-their-options,"Use this task to add tags to your products, based on their options, for easy filtering. A shirt might be tagged with ""Color-Blue"" and ""Size-XL"", for example. Optionally, choose to ignore options that only appear on out-of-stock variants, or choose to apply all tags in lowercase."
/unpaid-order-reminders,"This task sends recurring unpaid order reminders to customers, emailing them on a configurable schedule, until the order is no longer ""pending"" or until the order is cancelled."
/get-email-alerts-for-out-of-stock-products,"Use this task to keep you and your team updated when products go out of stock - and, optionally, when they go back in stock. Filter with a simple product search to only track products you care about. Choose a custom stock threshold to get a heads up before the stock level reaches zero."
/auto-publish-new-products,"Use this task to automatically make add new products to the sales channels of your choice, making each product available on each channel immediately after the product is created."
/auto-tag-new-customers,"This task tags every new customer, with the same configurable tag. :)"
/add-all-products-to-a-certain-sales-channel,"Does exactly as it says: this task will publish all products to the sales channel(s) of your choice, on demand. Optionally, filter products by a search query, or choose to have this task run hourly or daily."
/auto-tag-new-products-by-age,"This task scans every product in your store, and adds or removes the tags you configure, according to how many days have passed since the product was created. (Or published, if you prefer!)"
/accept-a-maximum-number-of-orders-per-day,"This task works by setting your inventory to zero when the order limit is reached. (Specifically, this means setting inventory levels to 0 for all items that have a greater-than-zero inventory level.) When the limit is reached, your inventory will be dropped to zero. If your store is configured to stop selling out-of-stock products, your customers will be prevented from making additional purchases."
/auto-sort-collections-by-product-properties,"This task re-sorts your collections by any product property that you choose. Use the ""Product property lookups"" option to control what attribute the task ""looks up"". For example, using ""published_at"" will result in sorting by the date and time the product was published. Add more than one lookup to dive more deeply into product data: using the lookups ""metafields"", ""store"", ""priority"", and ""value"" will result in a collection sorted by the store.priority metafield value on each product."
/email-a-csv-export-of-orders,"Use this task to generate and email a CSV of orders, including one row per line item. Filter with a search query or by tags, and auto-tag orders as they're exported. Run the export on demand, and/or nightly. This task is also useful as a template for further development."
/auto-tag-orders-with-utm-parameters,"This task automatically tags incoming orders with the UTM campaign, content, medium, source, and/or term associated with the customer's visit. Run this task manually to tag your existing orders."
/sync-inventory-levels-to-variant-metafields,"Use this task to easily make your inventory levels available in your online storefront theme. This task monitors for changes to inventory, and copies inventory availability figures to metafields on the related variant."
/auto-tag-products-with-their-vendors,"Use this task to copy each product's vendor to the product's tag. Optionally, you can apply a prefix to all vendor tags (e.g. ""vendor-""). Run this task manually to scan every product in your store. Otherwise, this task will run for specific products, whenever a product is created or updated."
/auto-tag-a-customers-first-order,"Watches for incoming orders that are the very first order on file for the related customer, and adds the tag of your choice."
/send-account-invites-to-all-customers-in-bulk,"Use this task to send out account invitations to all the customers you already have on file, with the push of a button. Optionally, filter by customer tag."
/auto-tag-orders-based-on-customer-account-tags,"Use this task to apply certain tags to newly-created orders, based on what tags are on the associated customer. Configure this task with one-to-one mappings of customer tags to look for, connected to order tags to add."
/auto-tag-customers-when-their-order-is-tagged,"This task watches for order tags, and adds a corresponding tag to the customer whenever a known order tag is found."
/auto-tag-products-based-on-their-product-type,"This task monitors new and updated products, applying the tag(s) of your choice to them based on their individual product type. Run this task manually to tag all of your products at once."
/auto-fulfill-orders-when-tagged,"This task monitors order tags, and when a certain tag is added to an order, it auto-fulfills all unfulfilled items in the order. Optionally, you can choose to notify customers when their order is fulfilled by this task."
/auto-tag-products-when-another-tag-is-added,"This task runs whenever a product is updated (which includes product creation), and it will add the configured ""tags to add"" to the product when the corresponding ""tags to watch for"" are present."
/automatically-send-account-invite-to-new-customers,"This task keeps an eye on customers as you create or import them in Shopify, and automatically sends account invitations to any customers that have an email address."
/create-a-draft-order-from-the-cart,"Use this task as a starting point, for allowing visitors to submit their carts to be transformed into draft orders, associated with their customer account. Installing and customizing this task requires some level of comfort with Liquid, HTML, and JavaScript."
/set-product-templates-based-on-product-tags,"Use this task to automatically select a specific product template for each of your products, based on how each product is tagged. Useful for a set-it-and-forget-it setup. :)"
/auto-generate-skus,"Save time by letting this task keep your SKUs up to date, generating them based on your product handle, and the initials of each variant option. Optionally, choose to have the task skip updating variants that already have SKUs. Useful for large catalogs, or for anyone who has a consistent SKU format."
/capture-order-payment-upon-fulfillment,"Upon the fulfillment of an authorized or partially paid order, this task attempts to capture all open authorized payments for that order. (Multiple authorizations can exist on edited orders or with post-purchase upsells.)"
/send-an-email-alert-when-a-variant-hits-0-total-inventory,"Use this task to receive an immediate email alert, whenever a variant's total inventory hits 0, when added up across all locations. You can limit alerts to a specific collection or publication (e.g. Online Store or POS). "
/find-duplicate-skus,"This task scans your entire product list, looking for duplicate SKUs using exact matching, and returning the list of duplicate SKUs (and the associated product variant IDs) if any are found."
/copy-prefixed-tags-to-metafields,"Use this task to copy prefixed tags to metafields, useful for Online Store 2.0 filtering. When run manually, it will scan for all of the object type you have configured in the task, and add/update the configured metafield on each with the resulting tag value when the tag prefix is matched."
/product-order-email,"Send an email to the customer with specific information regarding a product they just purchased. Useful for digital products, or anytime you'd like to communicate something extra about a product you offer. (Note: this does not replace the Shopify order confirmation email!)"
/tag-products-as-in-or-out-of-stock-by-location-id,"Use this task to easily keep an eye on which products are in stock, or out of stock, as established by individual locations. Configure tag prefixes and suffixes to arrive at product tags resembling ""location-123456890-instock"" or ""oos-123456890"". Configure this task to run hourly or daily, to keep these tags in sync."
/send-email-when-an-order-comes-in,"Use this task to notify staff (or suppliers, or anyone!) of incoming orders. Optionally, choose to only be notified when orders are paid, or only for orders that contain at least one product with a certain tag."
/receive-a-nightly-out-of-stock-report,"Based on an out-of-stock threshold you define, this task sends you an email summary (with CSV attachment) of all variants that are out of stock in any location. Run this task manually to receive the report on demand."
/auto-tag-out-of-stock-products,"Does what it says on the tin. :) Optionally, emails you an alert when a product goes out of stock."
/tag-orders-by-url-referrer,"Have your traffic sources refer customers using ?ref=referral-code-here URLs (using the query parameter of your choice), then use this task to automatically tag each customer's order according to the referral value they arrived with. Optionally, tag the customer as well."
/auto-remove-a-customer-tag-x-days-after-its-added,"Use this this task to monitor for the addition of a new customer tag, and to schedule the customer to be untagged some number of days later. Useful for granting temporary access to discounts, or other resources."
/auto-tag-customers-based-on-discount-codes-used,"Use this task to easily identify customers who used certain discount codes. This task runs automatically on incoming orders, and can be run manually to tag customers based on historical orders. Optionally, choose to remove tags, instead of adding them."
/maintain-a-collection-of-recently-purchased-products,"This task watches for newly-paid orders (or newly-fulfilled orders, if you choose), and adds or moves the purchased products to the top of the collection of your choice. Optionally, ignore products that are sold out. Useful for ""trending products"" functionality. :)"
/remind-customers-after-x-days-about-unpaid-orders,"This task wait for a configurable number of days (or hours!) after an order placed, and – if the order is still unpaid – emails the customer, and optionally adds a tag to the order. This task only sends one email – it does not send repeating reminders."
/tag-customers-by-order-tier,"Use this task to tag customers by tier, based on how many orders they've placed or by the sum of all their order totals (i.e. total spend). Optionally, configure a customers query, limiting the set of customers that are processed. You may also configure an order query, specifying for things like a rolling time period, or fulfillment status. This task is useful for rewarding customers who establish or maintain a specific spend level."
/automatically-cancel-high-risk-orders,"This task cancels orders as soon as Shopify (or another risk-analysis app) determines it to be high risk. Optionally, this task can also auto-tag the order, email the customer, restock the inventory, and/or refund payment."
/email-your-customers-after-a-quiet-period-of-no-orders,"Follow up with your customers – keep those relationships alive, and improve your returning customer rate, by emailing your customers after a few months of no order activity. By default, this task sends an email after 6 months of no order activity, and another 6 months after that."
/unpublish-products-that-have-been-out-of-stock-for-x-days,"This task watches for inventory updates. When a product's total inventory becomes 0 or less, the current time will be recorded for that product. Then, on an hourly basis, this task will unpublish any products with a recorded out-of-stock time of at least x days ago."
/auto-tag-orders-by-shipment-status,"Easily segment your orders by shipment status. Tagging your orders as ""Delivered"", or ""Out for delivery"", or ""Attempted delivery"", or any other status, allows you to stay on top of your order flow. And, adding these tags makes it easier to wire up additional automation, keeping the connection live between your customers and their orders."
/auto-remove-a-product-tag-x-days-after-its-added,"Use this this task to monitor for the addition of a new product tag, and to schedule the product to be untagged some number of days later. Useful for temporarily adding a product to a collection, or qualifying the product for some other temporary functionality."
/auto-associate-products-with-a-delivery-profile-by-product-tag,"Use this task to automatically add products, as they're tagged, to a specific delivery profile. Untag products to remove them from the configured profile."
/auto-tag-products-that-are-missing-costs,"Use this task to help you close in on the last few products that are missing cost values. Trigger this task manually to process your entire catalog, or let this task update tags as needed for products you create or update."
/unpublish-products-when-tagged,"This task watches for certain product tags, and removes the product from the selected sales channel(s) when those tags are found."
/abandoned-checkout-emails,"This task monitors checkouts in your store, and kicks off an email a configurable number of hours after a checkout is created – if the checkout wasn't completed, and if the customer provided their email address."
/auto-tag-orders-based-on-cart-attributes,"Use this task to automatically categorize orders based on the cart attributes configured before checkout. Useful if you allow customers to supply extra information about their order, or if your cart has some hidden coding that adds cart attributes programatically."
/remind-customers-that-their-order-is-on-the-way,"Do you ship custom items, or do you have a lengthy turnaround time on your orders? Use this task to automatically re-assure customers that their order is in the queue, to be shipped as soon as possible. By default, this task sends an email 10 days (or a number you configure) after the order is paid, as long as the order remains fully paid, unfulfilled, and un-cancelled. Optionally, configure tags to add to the order and/or customer, to be added when the email is sent, and choose whether to only send reminders on weekdays."
/auto-tag-orders-using-the-customers-tags,"Use this task to apply the same categorizations you use for your customers. Useful for pre-approving customers, and then quickly sorting your orders based on that pre-approval. Optionally, configure this task to only copy certain tags from customers to their orders."
/demonstration-order-editing,"This task demonstrates Shopify's ability to edit orders through the admin API. It's intended to be a starting place for developing more specific functionality. Out of the box, this task automatically adds a product to orders that (optionally) meet an order minimum."
/auto-tag-customers-with-who-have-accounts,"This task monitors customer accounts, and applies the tag of your choice to customers that have an enabled account, with a registered email address and active password. It untags customers whose accounts are disabled. This task can be run manually to tag/untag all existing customers."
/error-reporter,"Use this task to get email reports when errors occur with events, tasks, and actions in Mechanic. Use this task out of the box, customize it, or borrow logic for your more advanced error reporting tasks."
/auto-tag-new-orders,"Immediately upon order creation, add one or more tags to the order. Simple as that. :)"
/auto-tag-orders-with-a-cart-attribute,"This task checks for incoming orders, watching for orders that have a specific cart attribute filled in. When present, the task then copies that attribute over to the order's tags."
/tag-products-as-in-or-out-of-stock,"This task scans your products, in bulk, and tags them according to whether or not they're in stock. Optionally, configure this task to monitor products for live auto-tagging."
/auto-tag-new-orders-with-their-fulfillment-locations,"Monitoring for brand-new orders, this task tags each order with the fulfillment locations that Shopify automatically assigns at the moment of order creation. (Note: It's not currently possible to adjust tags when assigned fulfillment locations change.)"
/auto-tag-orders-by-shipping-address-country,"This task automatically adds the tag of your choice to incoming orders, based on the country in the order's shipping address."
/auto-tag-products-in-a-manual-collection,"If you prefer to categorize your products using manual collections, but you still need your tags to match up, use this task to monitor your manual collection and automatically tag the products it contains."
/auto-tag-products-that-meet-a-sales-threshold,"Out of the box, this task scans the last week's worth of paid orders, and auto-tags products that meet the sales threshold of your choice, removing the tag from products that no longer qualify. This scan can be run on demand (with the ""Run task"" button), and will otherwise run nightly."
/tag-customers-in-bulk-by-email-address,"This task prompts you for a list of email addresses and tags, one pair per line, in the format ""customer@example.com:tag"". The task adds each tag to its related customer. Developers: this task is an example of working in batches with GraphQL – useful when working with bulk data."
/auto-verify-customer-email-addresses,"Use this task to perform an extra verification step for your newly-created customers, in which a verification code is emailed to them, along with a link to a form on your online storefront where they can enter the code for verification. Once verified, the customer will be tagged, and sent a confirmation email."
/remove-a-customer-tag-when-another-tag-is-added,Does exactly as it says. :)
/email-vendors-when-their-products-are-ordered,"Use this task to notify vendors when items of theirs have been purchased, by providing this task with a list of vendor names, and the related email addresses."
/sync-an-inverse-product-tag,"Shopify's product collection filters allow you to filter by the tags the product contains – but not the tags a product does not contain. Use this task to sync an ""inverse"" tag to all products who do not have a particular tag, allowing you to create collections in Shopify that use the inverse tag."
/tag-products-by-their-price-ranges,"Some themes (like Mogo!) support browsing products by price range. Under the hood, this functionality is powered by tags that look like ""rprice-1-100"". This task watches for new and updated products, making sure that the product range tags stay in sync with prices available for each product. And, if you run the task manually, it'll update the tags for all products in your shop."
/auto-tag-orders-that-contain-an-out-of-stock-item,"This task watches for newly-created orders, and checks each line item for that variant's total inventory quantity. If any are found with an inventory level of 0 or less, the task will add the tag of your choice to the order – and, optionally, will add a tag to the customer and to each product related to an out-of-stock line item."
/auto-tag-orders-by-sales-channel,"Use this task to tag orders as they come in, based on which sales channel created them. Run this task manually to backfill tags for customers based on their historical orders."
/delete-product-or-product-variant-metafields-in-bulk,"With no configuration, this task will delete all product or variant metafields. Configure it with a metafield namespace to only delete metafields with that namespace, or add both a namespace and key to get even more specific. Run this task with the test mode option enabled, the first time, to make sure you're deleting the right material."
/auto-tag-customers-by-purchased-skus,"Use this task to keep customers tagged with the SKUs of the products they've purchased, optionally ignoring product purchases that have been refunded. Add a tag prefix to make SKU tags easy to distinguish from your other customer tags. This task also stores all purchased SKUs in a customer metafield, dodging the 250 tag limit that exists for customers."
/sync-variant-inventory-within-a-product-by-pack-size,"Use this task to sell a single product in different pack sizes, keeping available inventory levels synchronized appropriately, storing the ""main"" inventory level in a product tag (e.g. ""inventory:50"")."
/tag-customers-with-product-tags-from-their-order,"When orders come in, use this task to copy product tags from the order to the customer on file. Useful for automatically segmenting your customers based on attributes of their purchases. To keep things tidy, optionally configure this task to only look for a certain set of tags. This task supports running manually, to scan and tag all customers based on their order history, or a subset of customers by using a query filter."
/auto-tag-orders-with-their-tracking-numbers,"Tracking numbers aren't generally searchable within Shopify. Use this task to fix that, by copying all fulfillment tracking numbers over to the order itself, as (searchable!) order tags."
/email-a-csv-export-of-products,"This task demonstrates Mechanic's ability to compile a CSV export, and send it as an email attachment. In this example, we bundle up a simple export of product titles and IDs, and email it as a CSV attachment."
/auto-capture-payments-when-an-order-is-created,"This task runs when an order is created and captures any authorized transactions, based on the configured risk levels. Optionally choose to filter orders for capture by a tag."
/auto-add-default-custom-attributes-to-new-orders,"Shopify allows orders to have custom attributes associated with them – and these attributes can be edited from within Shopify. Use this task to configure default attributes to be added to all new orders, providing an attribute name and (optionally) a value. Feel free to leave the value blank if you know you'll want to add your own values later, within Shopify."
/advanced-scheduled-price-changes,"This advanced task allows you to schedule price change events for your store, useful for seasonal and flash sales. To use this task, configure a price change event using the task options, save the task and run it manually, and then enter a keyword of schedule in the dialog that appears. An email summary with the price change event ID will be sent upon successful scheduling."
/auto-invite-customers-when-tagged,"This task watches for updates to customers, and sends invites for any customer who has the tag you choose, who hasn't previously been invited. If you'd like to run this task in bulk, you can find that version of the task here."
/auto-tag-orders-with-their-line-item-properties,"Use this task to tag incoming orders with all of the line item properties found on the order. Optionally, configure a list of property names to be included, or a list of property names to be excluded. This task can also be run manually to scan and tag historical orders."
/create-a-product-inventory-feed,"This task, paired with the linked instructions, creates a feed of product inventory (optionally filtering by product type)."
/auto-tag-customers-having-a-rolling-minimum-total-spend,"Use this task to tag customers who reach a certain spending threshold, by scanning a rolling period of order history. Useful for rewarding customers who keep a consistent spend total."
/auto-tag-new-orders-with-product-skus,"This task watches for new orders, and tags each order with all line item SKUs found in that order."
/schedule-product-tags-by-date,"Use this task to schedule adding and/or removing tags for specific products, with support for scheduling by date, or by date and hour."
/generate-a-discount-code-when-a-certain-product-is-purchased,"This task watches for newly-paid orders, and if the configured product is purchased, sends the customer a discount code that's just for them. Optionally, configure the discounts to only apply to a certain collection of products, and to only last for a certain number of days."
/auto-sort-collections-by-inventory-levels,"This task re-sorts your collections, beginning with the sort order of your choice (alphabetically, best selling first, etc), and then by total inventory in descending order. Products whose inventory is not tracked (i.e. limitless inventory) will be moved to the top and out-of-stock products (inventory &lt;= 0) will be moved to the bottom. Optionally, choose to sort by the sellable online quantity (i.e. locations enabled for online order fulfillment) instead of the total inventory for a product across all locations."
/auto-tag-customers-when-another-tag-is-added,"Does exactly as it says. :) Optionally, use combinations of tags to require, and/or combinations of tags to add."
/email-a-summary-of-all-products-and-quantities-ordered,"Use this task to send yourself a quick tally of everything currently waiting in your order list. Super simple: just a list of products, and how many of each were ordered."
/demonstration-write-to-a-customer-metafield,"This task demonstrates how to write to a Shopify metafield, belonging to a specific resource - in this case, a customer."
/auto-tag-customers-with-vendors-after-ordering,"This task tags customers with the name of each vendor in their order, as soon as the order is created. Useful for keeping track of which vendors a customer is interested in. :)"
/reset-inventory-levels-daily,"Use this task to bring all of your inventory levels to the same place, every night."
/auto-tag-draft-orders-by-originating-staff-member,"Use this task to keep track of who created what draft order. This task watches for new draft orders, and tags each one with the name of the store staff member who created it. This task can also be run manually, to scan and tag all draft orders already in your store."
/manage-tagging-for-a-time-limited-membership-product,"Use this task to automatically tag customers when they purchase specific a membership product, and then untag them after a certain amount of time has passed! (Optionally, this task can also automatically untag the customer if/when their membership order is cancelled.)"
/auto-tag-products-without-descriptions,"This task runs when products are updated, checking if they have a description, and tagging them if not. Once a description has been added, then the tag will be removed."
/send-follow-up-emails-after-sending-a-draft-order-invoice,"Use this task to send a follow-up email, 24 hours after you send out an email invoice for a draft order. Optionally, set this task to continue sending follow-up messages, every day after that."
/demonstration-generate-product-sales-report-pdf-with-pie-chart,This task demonstrates how a product sales report can be generated as PDF and emailed to one or more recipients. It also shows how charts can be embedded in the PDF report using a 3rd party library like ChartJS.
/auto-tag-new-products-by-back-in-stock-age,"This task monitors changes to inventory level, records the time at which a product's total inventory passes your configured threshold, and then maintains a set of tags indicating how recently the product returned to ""back in stock"" status."
/auto-tag-orders-with-mismatching-billing-and-shipping-addresses,"Useful for flagging orders for manual follow-up, for stores that see fraudulent activity in which billing and shipping address are not the same."
/trigger-order-emails-with-a-tag,"This task monitors order tags, and sends out an email that you configure whenever a certain tag is added. Supports email templates, and sending to custom recipients."
/auto-tag-customers-that-accept-marketing,"Use this task to auto-tag customers whose marketing preferences have been updated, adding a tag for those that do accept marketing and removing it from customers who do not. Optionally, choose whether to limit tags to customers who have single or confirmed opt-in levels. Run this task manually to scan all customers at once."
/auto-copy-notes-from-customers-to-their-orders,"Save time jumping between screens, by making sure that the order record has everything you need. Useful for shops that keep important fulfillment information in the customer notes. This task can be run manually to back-fill notes for open orders."
/auto-tag-orders-that-are-ready-to-ship,"Use this task to tag orders, as they are created, if every single line item is related to a variant that's in stock."
/remove-specified-tags-from-all-products,"This task removes the matched tags from all products in your shop. Optionally, choose to remove partial tag matches as well (e.g. configured tag: ""sale"", matched tags: ""sale"", ""sale 10"", ""on sale"", etc.)."
/email-customers-when-created,"Use this task to send a quick welcome email to customers, when they sign up or are otherwise created in your shop. Optionally, filter by customer tag to only send welcome emails to certain customers."
/update-empty-customer-data-from-addresses,"Running when a customer is updated, this task will fill empty customer names and/or phones on accounts by pulling the relevant data from any customer addresses on file. Optionally, the task may be run in manual mode to scan and update all customers."
/demonstration-fetch-an-external-configuration-file,"This task script demonstrates using the ""http"" action to retrieve external data, using a GET request. It also demonstrates saving the retrieved data to the Mechanic cache, where it can be used for future task runs."
/keep-inventory-levels-in-sync-within-products,"Useful for selling, say, a limited print with different framing options, this task makes sure that a product's inventory levels, for each variant and location, are all kept in sync."
/auto-tag-customers-when-order-paid,"Configure this task with a customer tag, and Mechanic will take care of applying it to your customers as soon as their order payment goes through. Easy as that. :)"
/manage-fulfillment-status-using-order-tags,"Use this task to easily set the shipment status on your fulfilled orders. Just add a tag, and new fulfillment events will be created, using the corresponding shipment status. Optionally, you may have the task attempt to fulfill the order first and may choose whether to send shipment status notifications to the customer."
/auto-update-inventory-policy-based-on-a-preorder-tag,"This task manages your published product catalog, checking for the presence of a ""preorder"" tag, or a tag that starts with ""preorder_"" (like ""preorder_summer""). If this tag is found, the task updates the product to allow customers to purchase the product after it's out of stock. If no preorder tag is found, the task makes sure customers cannot purchase the product if it's out of stock."
/auto-tag-products-based-on-their-publishing-status,"This task manages tagging for products, according to whether or not they're published for the sales channel of your choice. Choose a tag to use when the product is published, and/or a tag for when the product is unpublished."
/import-paypal-transactions-as-shopify-orders,"Use this task when you want to record your external PayPal transactions as Shopify orders. Are you using PayPal subscriptions? Or receiving direct payments you'd like to record in Shopify? Use this task, or file a task request to have it modified for more purpose-specific uses. :) Again, this isn't for PayPal as a Shopify payment provider – it's for any time you might be using PayPal outside of your Shopify store."
/tag-orders-that-have-at-least-x-of-a-certain-product,"Use this task to monitor for orders that meet a certain quantity threshold, per line item or totaled up, optionally only looking at certain SKUs. Optionally, send yourself an email notification when such an order comes in."
/reset-negative-inventory-levels-to-zero-in-bulk,"Super simple. Scans all inventory levels in your store, on demand, and brings the negative ones back up to zero. Optionally, configure this task to run nightly."
/delete-cancelled-orders-after-48-hours,"When an order is cancelled, this task waits 48 hours, and then permanently deletes the order. Simple as that! (Please note: if you only want to archive the cancelled order, not delete it, try a different task!)"
/auto-tag-orders-with-product-tags,"This task watches for new orders, and copies tags from each ordered product to the order itself."
/email-customers-a-unique-discount-code-two-weeks-after-order-fulfillment,"This task generates a brand new discount code (copying configuration from another code, of your choice), and emails it to the customer, after waiting a configurable number of days after order fulfillment."
/auto-complete-new-draft-orders,"This task monitors for newly-created draft orders, and converts each one into a completed order. Nothing more, nothing less. :)"
/set-product-or-variant-metafields-in-bulk,"Use this task to set a default value on a single metafield across all of your products or variants, excluding any where this metafield already has a value set."
/auto-tag-orders-with-product-vendors,Use this task to automatically tag incoming orders with the vendor of each product in the order.
/send-an-email-alert-when-a-customer-places-more-than-2-orders-in-24-hours,"Use this task to receive an email alert whenever a single customer exceeds a configurable order count, over the last configurable number of hours."
/remove-a-order-tag-when-another-tag-is-added,Does exactly as it says. :)
